Шрифт;Поддержка абхазского;Категория;Автор;Лицензия;Цена;Файлов (начертаний);Ссылка
Akt;Полная поддержка;Без засечек;Dmitry Grenev;OFL;Бесплатный;1;https://fonts.google.com/specimen/Akt
Andika;Полная поддержка;Без засечек;SIL International;OFL;Бесплатный;4;https://fonts.google.com/specimen/Andika
Arimo;Полная поддержка;Без засечек;Steve Matteson;OFL;Бесплатный;2;https://fonts.google.com/specimen/Arimo
Arsenal;Полная поддержка;Без засечек;Andrij Shevchenko;OFL;Бесплатный;4;https://fonts.google.com/specimen/Arsenal
Arsenal SC;Полная поддержка;Без засечек;Andrij Shevchenko;OFL;Бесплатный;4;https://fonts.google.com/specimen/Arsenal+SC
Bitter;Полная поддержка;С засечками;Sol Matas;OFL;Бесплатный;2;https://fonts.google.com/specimen/Bitter
Caveat;Полная поддержка;Рукописный;Impallari Type;OFL;Бесплатный;1;https://fonts.google.com/specimen/Caveat
Charis SIL;Полная поддержка;С засечками;SIL International;OFL;Бесплатный;4;https://fonts.google.com/specimen/Charis+SIL
Chiron GoRound TC;Полная поддержка;Без засечек;Tamcy;OFL;Бесплатный;1;https://fonts.google.com/specimen/Chiron+GoRound+TC
Commissioner;Полная поддержка;Без засечек;Kostas Bartsokas;OFL;Бесплатный;1;https://fonts.google.com/specimen/Commissioner
Cormorant;Полная поддержка;С засечками;Christian Thalmann;OFL;Бесплатный;2;https://fonts.google.com/specimen/Cormorant
Cormorant Garamond;Полная поддержка;С засечками;Christian Thalmann;OFL;Бесплатный;2;https://fonts.google.com/specimen/Cormorant+Garamond
Cormorant Infant;Полная поддержка;С засечками;Christian Thalmann;OFL;Бесплатный;2;https://fonts.google.com/specimen/Cormorant+Infant
Cormorant SC;Полная поддержка;С засечками;Christian Thalmann;OFL;Бесплатный;5;https://fonts.google.com/specimen/Cormorant+SC
Cormorant Unicase;Полная поддержка;С засечками;Christian Thalmann;OFL;Бесплатный;5;https://fonts.google.com/specimen/Cormorant+Unicase
EB Garamond;Полная поддержка;С засечками;Georg Duffner, Octavio Pardo;OFL;Бесплатный;2;https://fonts.google.com/specimen/EB+Garamond
Exo 2;Полная поддержка;Без засечек;Natanael Gama;OFL;Бесплатный;2;https://fonts.google.com/specimen/Exo+2
Finlandica Headline;Полная поддержка;Без засечек;Helsinki Type Studio, Niklas Ekholm, Juho Hiilivirta, Jaakko Suomalainen;OFL;Бесплатный;2;https://fonts.google.com/specimen/Finlandica+Headline
Finlandica Text;Полная поддержка;Без засечек;Helsinki Type Studio, Niklas Ekholm, Juho Hiilivirta, Jaakko Suomalainen;OFL;Бесплатный;2;https://fonts.google.com/specimen/Finlandica+Text
Fira Code;Полная поддержка;Моноширинный;The Mozilla Foundation, Telefonica S.A., Nikita Prokopov;OFL;Бесплатный;1;https://fonts.google.com/specimen/Fira+Code
Fira Mono;Полная поддержка;Моноширинный;Carrois Apostrophe;OFL;Бесплатный;3;https://fonts.google.com/specimen/Fira+Mono
Fira Sans;Полная поддержка;Без засечек;Carrois Apostrophe;OFL;Бесплатный;18;https://fonts.google.com/specimen/Fira+Sans
Fira Sans Condensed;Полная поддержка;Без засечек;Carrois Apostrophe;OFL;Бесплатный;18;https://fonts.google.com/specimen/Fira+Sans+Condensed
Fira Sans Extra Condensed;Полная поддержка;Без засечек;Carrois Apostrophe;OFL;Бесплатный;18;https://fonts.google.com/specimen/Fira+Sans+Extra+Condensed
Gentium Book Plus;Полная поддержка;С засечками;SIL International;OFL;Бесплатный;4;https://fonts.google.com/specimen/Gentium+Book+Plus
Gentium Plus;Полная поддержка;С засечками;SIL International;OFL;Бесплатный;4;https://fonts.google.com/specimen/Gentium+Plus
Google Sans;Полная поддержка;Без засечек;Google;OFL;Бесплатный;2;https://fonts.google.com/specimen/Google+Sans
IBM Plex Sans;Полная поддержка;Без засечек;Mike Abbink, Bold Monday;OFL;Бесплатный;2;https://fonts.google.com/specimen/IBM+Plex+Sans
Iosevka Charon;Полная поддержка;Моноширинный;Juliette Pluto;OFL;Бесплатный;8;https://fonts.google.com/specimen/Iosevka+Charon
Iosevka Charon Mono;Полная поддержка;Моноширинный;Juliette Pluto;OFL;Бесплатный;8;https://fonts.google.com/specimen/Iosevka+Charon+Mono
Libre Franklin;Полная поддержка;Без засечек;Impallari Type;OFL;Бесплатный;2;https://fonts.google.com/specimen/Libre+Franklin
Lilex;Полная поддержка;Моноширинный;Mike Abbink, Paul van der Laan, Pieter van Rosmalen, Mikhael Khrustik;OFL;Бесплатный;2;https://fonts.google.com/specimen/Lilex
Lora;Полная поддержка;С засечками;Cyreal;OFL;Бесплатный;2;https://fonts.google.com/specimen/Lora
Merriweather;Полная поддержка;С засечками;Sorkin Type;OFL;Бесплатный;2;https://fonts.google.com/specimen/Merriweather
Montserrat;Полная поддержка;Без засечек;Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly;OFL;Бесплатный;2;https://fonts.google.com/specimen/Montserrat
Montserrat Alternates;Полная поддержка;Без засечек;Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly;OFL;Бесплатный;18;https://fonts.google.com/specimen/Montserrat+Alternates
Montserrat Underline;Полная поддержка;Без засечек;Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly;OFL;Бесплатный;2;https://fonts.google.com/specimen/Montserrat+Underline
Mulish;Полная поддержка;Без засечек;Vernon Adams, Cyreal, Jacques Le Bailly;OFL;Бесплатный;2;https://fonts.google.com/specimen/Mulish
Nevermind;Полная поддержка;Без засечек;lan;OFL;Бесплатный;2;https://fonts.google.com/specimen/Nevermind
Noto Sans;Полная поддержка;Без засечек;Google;OFL;Бесплатный;2;https://fonts.google.com/specimen/Noto+Sans
Noto Sans Display;Полная поддержка;Акцидентный;Google;OFL;Бесплатный;2;https://fonts.google.com/specimen/Noto+Sans+Display
Noto Sans Mono;Полная поддержка;Без засечек;Google;OFL;Бесплатный;1;https://fonts.google.com/specimen/Noto+Sans+Mono
Noto Serif;Полная поддержка;С засечками;Google;OFL;Бесплатный;2;https://fonts.google.com/specimen/Noto+Serif
Noto Serif Display;Полная поддержка;Акцидентный;Google;OFL;Бесплатный;2;https://fonts.google.com/specimen/Noto+Serif+Display
Nunito;Полная поддержка;Без засечек;Vernon Adams, Cyreal, Jacques Le Bailly;OFL;Бесплатный;2;https://fonts.google.com/specimen/Nunito
Nunito Sans;Полная поддержка;Без засечек;Vernon Adams, Jacques Le Bailly, Manvel Shmavonyan, Alexei Vanyashin;OFL;Бесплатный;2;https://fonts.google.com/specimen/Nunito+Sans
Oswald;Полная поддержка;Без засечек;Vernon Adams, Kalapi Gajjar, Cyreal;OFL;Бесплатный;1;https://fonts.google.com/specimen/Oswald
PT Mono;Полная поддержка;Моноширинный;ParaType;OFL;Бесплатный;1;https://fonts.google.com/specimen/PT+Mono
PT Sans;Полная поддержка;Без засечек;ParaType;OFL;Бесплатный;4;https://fonts.google.com/specimen/PT+Sans
PT Sans Caption;Полная поддержка;Без засечек;ParaType;OFL;Бесплатный;2;https://fonts.google.com/specimen/PT+Sans+Caption
PT Sans Narrow;Полная поддержка;Без засечек;ParaType;OFL;Бесплатный;2;https://fonts.google.com/specimen/PT+Sans+Narrow
PT Serif;Полная поддержка;С засечками;ParaType;OFL;Бесплатный;4;https://fonts.google.com/specimen/PT+Serif
PT Serif Caption;Полная поддержка;С засечками;ParaType;OFL;Бесплатный;2;https://fonts.google.com/specimen/PT+Serif+Caption
Pacifico;Полная поддержка;Рукописный;Vernon Adams, Jacques Le Bailly, Botjo Nikoltchev, Ani Petrova;OFL;Бесплатный;1;https://fonts.google.com/specimen/Pacifico
Piazzolla;Полная поддержка;С засечками;Juan Pablo del Peral, HT Fonts;OFL;Бесплатный;2;https://fonts.google.com/specimen/Piazzolla
Play;Полная поддержка;Без засечек;Jonas Hecksher;OFL;Бесплатный;2;https://fonts.google.com/specimen/Play
Pliant;Полная поддержка;Без засечек;Non Foundry, Jona Saucedo;OFL;Бесплатный;2;https://fonts.google.com/specimen/Pliant
Podkova;Полная поддержка;С засечками;Cyreal;OFL;Бесплатный;1;https://fonts.google.com/specimen/Podkova
